Date;Number Fixed Bugs
giu-14;1
lug-14;6
ago-14;9
set-14;10
ott-14;3
nov-14;4
dic-14;2
gen-15;7
feb-15;2
mar-15;13
apr-15;9
mag-15;5
giu-15;10
lug-15;16
ago-15;1
set-15;5
ott-15;3
nov-15;1
dic-15;7
gen-16;6
feb-16;18
mar-16;5
apr-16;5
mag-16;8
giu-16;7
lug-16;7
ago-16;2
set-16;15
ott-16;12
nov-16;10
dic-16;9
gen-17;12
feb-17;6
mar-17;4
apr-17;8
mag-17;7
giu-17;7
lug-17;3
ago-17;0
set-17;7
ott-17;5
nov-17;3
dic-17;3
gen-18;8
feb-18;4
mar-18;4
apr-18;7
mag-18;9
giu-18;6
lug-18;3
ago-18;6
set-18;3
ott-18;2
nov-18;7
dic-18;3
gen-19;5
feb-19;8
mar-19;4
apr-19;2
mag-19;8
giu-19;0
lug-19;6
ago-19;3
set-19;1
ott-19;2
nov-19;2
dic-19;6
gen-20;5
feb-20;5
mar-20;9
apr-20;3
mag-20;1
