Date,Number Fixed Bugs,Media,Upper Bound,Lower Bound,Lower Bound,Dev standard,,Bin,FREQUENCY
giu-14,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,1,25
lug-14,6,3.323943662,14.13556109,-6.626789161,0,3.460391709,,2,14
ago-14,9,3.323943662,14.13556109,-6.626789161,0,3.460391709,,3,6
set-14,10,3.323943662,14.13556109,-6.626789161,0,3.460391709,,4,7
ott-14,3,3.323943662,14.13556109,-6.626789161,0,3.460391709,,5,5
nov-14,4,3.323943662,14.13556109,-6.626789161,0,3.460391709,,6,3
dic-14,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,7,3
gen-15,7,3.323943662,14.13556109,-6.626789161,0,3.460391709,,8,2
feb-15,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,9,2
mar-15,13,3.323943662,14.13556109,-6.626789161,0,3.460391709,,10,2
apr-15,8,3.323943662,14.13556109,-6.626789161,0,3.460391709,,11,0
mag-15,5,3.323943662,14.13556109,-6.626789161,0,3.460391709,,12,0
giu-15,10,3.323943662,14.13556109,-6.626789161,0,3.460391709,,13,1
lug-15,16,3.323943662,14.13556109,-6.626789161,0,3.460391709,,14,0
ago-15,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,15,0
set-15,5,3.323943662,14.13556109,-6.626789161,0,3.460391709,,16,1
ott-15,3,3.323943662,14.13556109,-6.626789161,0,3.460391709,,17,0
nov-15,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,18,0
dic-15,7,3.323943662,14.13556109,-6.626789161,0,3.460391709,,19,0
gen-16,4,3.323943662,14.13556109,-6.626789161,0,3.460391709,,20,0
feb-16,9,3.323943662,14.13556109,-6.626789161,0,3.460391709,,21,0
mar-16,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,22,0
apr-16,5,3.323943662,14.13556109,-6.626789161,0,3.460391709,,23,0
mag-16,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,24,0
giu-16,4,3.323943662,14.13556109,-6.626789161,0,3.460391709,,25,0
lug-16,4,3.323943662,14.13556109,-6.626789161,0,3.460391709,,26,0
ago-16,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,27,0
set-16,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,28,0
ott-16,7,3.323943662,14.13556109,-6.626789161,0,3.460391709,,29,0
nov-16,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,30,0
dic-16,3,3.323943662,14.13556109,-6.626789161,0,3.460391709,,31,0
gen-17,3,3.323943662,14.13556109,-6.626789161,0,3.460391709,,32,0
feb-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,33,0
mar-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,34,0
apr-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,35,0
mag-17,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,36,0
giu-17,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,37,0
lug-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,38,0
ago-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,39,0
set-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,40,0
ott-17,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,41,0
nov-17,3,3.323943662,14.13556109,-6.626789161,0,3.460391709,,42,0
dic-17,0,3.323943662,14.13556109,-6.626789161,0,3.460391709,,43,0
gen-18,6,3.323943662,14.13556109,-6.626789161,0,3.460391709,,44,0
feb-18,2,3.323943662,14.13556109,-6.626789161,0,3.460391709,,45,0
mar-18,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,46,0
apr-18,1,3.323943662,14.13556109,-6.626789161,0,3.460391709,,47,0
mag-18,5,3.323943662,14.13556109,-6.626789161,0,3.460391709,,48,0
