Date;Number Fixed Bugs
giu-14;1
lug-14;6
ago-14;9
set-14;10
ott-14;3
nov-14;4
dic-14;2
gen-15;7
feb-15;2
mar-15;13
apr-15;8
mag-15;5
giu-15;10
lug-15;12
ago-15;1
set-15;2
ott-15;1
nov-15;0
dic-15;1
gen-16;1
feb-16;4
mar-16;0
apr-16;1
mag-16;1
giu-16;0
lug-16;2
ago-16;0
set-16;0
ott-16;0
nov-16;1
dic-16;1
gen-17;53
feb-17;0
mar-17;0
apr-17;0
mag-17;1
giu-17;1
lug-17;0
ago-17;0
set-17;0
ott-17;1
nov-17;3
dic-17;0
gen-18;6
feb-18;1
mar-18;0
apr-18;4
mag-18;5
giu-18;3
lug-18;2
ago-18;4
set-18;2
ott-18;1
nov-18;6
dic-18;1
gen-19;6
feb-19;8
mar-19;2
apr-19;0
mag-19;3
giu-19;0
lug-19;5
ago-19;1
set-19;1
ott-19;2
nov-19;1
dic-19;0
gen-20;2
feb-20;2
mar-20;1
apr-20;3
