@relation 'bookkeeperdataset-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 16 -O-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute Buggy=YES numeric
@attribute AVG_LOC numeric
@attribute LOC_added numeric
@attribute NAuth numeric
@attribute NFix numeric
@attribute NR numeric
@attribute LOC_touched numeric
@attribute MAX_LOC numeric
@attribute Churn numeric
@attribute WeightedAge numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute AVG_ChgSet numeric
@attribute MAX_ChgSets numeric
@attribute ChgSetSize numeric
@attribute AVG_Churn numeric
@attribute LOC numeric

@data
-0.02216,193.254149,217.593224,2.05687,0.000887,1.062681,192.59882,217.593224,242.587628,22.813917,259.026603,35.617635,233.77139,280.173485,387.601883,125.42982,124.419359
0.817788,272.141167,314.46507,2.179804,-0.000382,1.355577,258.750622,314.46507,370.179518,40.137018,403.556231,30.107452,205.087325,254.649929,362.086258,233.666016,264.385179
-0.097215,461.272701,531.974895,0.954185,-0.001712,1.187555,683.861187,531.974895,380.088604,7.18681,405.980402,-2.667453,229.571517,269.784946,362.427343,225.19459,605.399943
-0.08963,103.679054,76.504911,0.96764,-0.001221,1.154535,73.936306,76.504911,79.073516,7.478599,68.440067,-1.745144,229.891757,268.483777,356.375164,-14.08333,108.930684
-0.091052,170.727863,161.905533,0.965117,-0.001313,1.160727,188.297221,161.905533,135.513845,7.423888,131.728879,-1.918077,229.831712,268.727746,357.509947,30.78128,202.01867
-0.096267,416.573495,475.041147,0.955867,-0.001651,1.183428,607.620577,475.041147,342.461718,7.223284,363.78786,-2.552165,229.611547,269.6223,361.670821,195.28485,543.341285
-0.090332,136.81812,118.714414,0.966393,-0.001266,1.157595,130.459517,118.714414,106.96931,7.451558,99.720744,-1.830616,229.86208,268.60436,356.936034,8.091132,154.939688
-0.097068,454.336617,523.140348,0.954446,-0.001703,1.186915,672.030748,523.140348,374.249949,7.19247,399.433284,-2.649564,229.577729,269.759708,362.309952,220.553424,595.770151
-0.09048,143.754204,127.548961,0.966132,-0.001276,1.158236,142.289957,127.548961,112.807965,7.445898,106.267863,-1.848506,229.855868,268.629598,357.053425,12.732299,164.56948
-0.090774,157.626371,145.218055,0.96561,-0.001295,1.159517,165.950836,145.218055,124.485275,7.434579,119.3621,-1.884285,229.843445,268.680074,357.288208,22.014632,183.829063
-0.090709,154.543667,141.29159,0.965726,-0.001291,1.159232,160.692863,141.29159,121.890317,7.437094,116.452269,-1.876334,229.846206,268.668857,357.236034,19.951891,179.549156
-0.090365,138.359472,120.677647,0.966335,-0.001269,1.157738,133.088504,120.677647,108.266789,7.4503,101.175659,-1.834592,229.860699,268.609968,356.962121,9.122503,157.079642
-0.092376,233.152616,241.416457,0.962768,-0.001399,1.166491,294.771177,241.416457,188.061737,7.372951,190.652947,-2.079083,229.775808,268.95489,358.56647,72.551779,288.686795
-0.095008,357.231446,399.456689,0.958099,-0.001569,1.177948,506.404595,399.456689,292.508783,7.271706,307.773624,-2.399109,229.664691,269.406373,360.666472,155.577092,460.953068
-0.09164,198.472197,197.243722,0.964073,-0.001351,1.163289,235.618979,197.243722,158.868464,7.40125,157.917354,-1.989635,229.806866,268.828699,357.979513,49.345946,240.537836
-0.089123,79.788099,46.074804,0.968538,-0.001188,1.152329,33.187015,46.074804,58.962594,7.498093,45.88888,-1.683524,229.913152,268.396846,355.970816,-30.06957,75.761401
-0.091313,183.058678,177.611395,0.964653,-0.00133,1.161865,209.329114,177.611395,145.893675,7.413827,143.368201,-1.94988,229.820669,268.772614,357.718643,39.032243,219.138299
-0.089303,88.265535,56.872584,0.968219,-0.0012,1.153112,47.646441,56.872584,66.098727,7.491176,53.890914,-1.705389,229.905561,268.427692,356.114294,-24.397033,87.531147
-0.091035,169.957187,160.923917,0.965146,-0.001312,1.160656,186.982728,160.923917,134.865105,7.424517,131.001422,-1.916089,229.832402,268.724942,357.496904,30.265595,200.948693
-0.089613,102.908378,75.523295,0.967669,-0.00122,1.154464,72.621813,75.523295,78.424776,7.479227,67.712609,-1.743156,229.892447,268.480973,356.36212,-14.599015,107.860707
-0.089662,105.220406,78.468144,0.967582,-0.001223,1.154678,76.565293,78.468144,80.370995,7.477341,69.894982,-1.749119,229.890377,268.489386,356.401251,-13.05196,111.070637
-0.097248,462.814053,533.938128,0.954127,-0.001714,1.187698,686.490174,533.938128,381.386082,7.185552,407.435318,-2.671429,229.570137,269.790555,362.45343,226.225961,607.539896
-0.091542,193.848142,191.354023,0.964247,-0.001345,1.162862,227.73202,191.354023,154.976027,7.405023,153.552608,-1.977709,229.811007,268.811874,357.901252,46.251835,234.117975
-0.090594,149.148936,134.420275,0.965929,-0.001283,1.158734,151.49141,134.420275,117.349141,7.441496,111.360066,-1.86242,229.851037,268.649227,357.14473,16.342095,172.059318
-0.091215,178.434622,171.721697,0.964827,-0.001324,1.161438,201.442154,171.721697,142.001239,7.4176,139.003456,-1.937954,229.82481,268.755789,357.640382,35.938132,212.718438
-0.089401,92.88959,62.762282,0.968045,-0.001206,1.153539,55.5334,62.762282,69.991164,7.487403,58.25566,-1.717315,229.90142,268.444518,356.192555,-21.302922,93.951008
-0.090561,147.607584,132.457043,0.965987,-0.001281,1.158592,148.862423,132.457043,116.051662,7.442754,109.905151,-1.858445,229.852417,268.643619,357.118643,15.310725,169.919364
-0.091085,172.269215,163.868766,0.965059,-0.001315,1.160869,190.926208,163.868766,136.811323,7.422631,133.183795,-1.922052,229.830332,268.733355,357.536034,31.81265,204.158623
-0.089728,108.30311,82.394609,0.967466,-0.001227,1.154962,81.823266,82.394609,82.965952,7.474826,72.804812,-1.75707,229.887616,268.500603,356.453425,-10.989219,115.350545
-0.089695,106.761758,80.431376,0.967524,-0.001225,1.15482,79.194279,80.431376,81.668473,7.476083,71.349897,-1.753094,229.888996,268.494994,356.427338,-12.020589,113.210591
-0.091215,178.434622,171.721697,0.964827,-0.001324,1.161438,201.442154,171.721697,142.001239,7.4176,139.003456,-1.937954,229.82481,268.755789,357.640382,35.938132,212.718438
-0.089531,99.054998,70.615213,0.967813,-0.001215,1.154108,66.049347,70.615213,75.181079,7.482372,64.075321,-1.733217,229.895898,268.466952,356.296903,-17.177441,102.510822
-0.091722,202.325577,202.151803,0.963928,-0.001356,1.163644,242.191446,202.151803,162.112161,7.398105,161.554642,-1.999574,229.803415,268.84272,358.044731,51.924372,245.887721
-0.089237,85.182831,52.946119,0.968335,-0.001195,1.152828,42.388468,52.946119,63.50377,7.493691,50.981084,-1.697438,229.908321,268.416475,356.06212,-26.459774,83.251239
-0.096823,442.776478,508.416103,0.954881,-0.001687,1.185847,652.313349,508.416103,364.518858,7.201903,388.521419,-2.619748,229.588082,269.717644,362.114299,212.818146,579.720498
-0.097673,482.851628,559.460153,0.953373,-0.001742,1.189548,720.666999,559.460153,398.253307,7.169202,426.349216,-2.72311,229.552193,269.863465,362.792561,239.633775,635.359294
-0.090725,155.314343,142.273206,0.965697,-0.001292,1.159303,162.007356,142.273206,122.539056,7.436465,117.179727,-1.878322,229.845516,268.671661,357.249078,20.467577,180.619133
-0.091134,174.581242,166.813615,0.964972,-0.001318,1.161083,194.869688,166.813615,138.757542,7.420744,135.366168,-1.928015,229.828261,268.741768,357.575165,33.359706,207.368554
-0.090709,154.543667,141.29159,0.965726,-0.001291,1.159232,160.692863,141.29159,121.890317,7.437094,116.452269,-1.876334,229.846206,268.668857,357.236034,19.951891,179.549156
-0.100779,629.280061,745.967259,0.947864,-0.001943,1.203069,970.420722,745.967259,521.513796,7.04972,564.566164,-3.10078,229.42106,270.396271,365.270824,337.613958,838.654896
-0.091722,202.325577,202.151803,0.963928,-0.001356,1.163644,242.191446,202.151803,162.112161,7.398105,161.554642,-1.999574,229.803415,268.84272,358.044731,51.924372,245.887721
-0.089188,82.870803,50.00127,0.968422,-0.001192,1.152614,38.444988,50.00127,61.557552,7.495578,48.798711,-1.691475,229.910392,268.408063,356.02299,-28.00683,80.041309
-0.088927,70.539987,34.295408,0.968886,-0.001175,1.151475,17.413095,34.295408,51.177721,7.505639,37.159389,-1.659671,229.921435,268.363195,355.814294,-36.257792,62.921679
-0.089907,116.780545,93.192389,0.967147,-0.001239,1.155745,96.282692,93.192389,90.102086,7.467908,80.806846,-1.778935,229.880024,268.531449,356.596903,-5.316682,127.12029
-0.088927,70.539987,34.295408,0.968886,-0.001175,1.151475,17.413095,34.295408,51.177721,7.505639,37.159389,-1.659671,229.921435,268.363195,355.814294,-36.257792,62.921679
-0.089842,113.697841,89.265923,0.967263,-0.001235,1.155461,91.024719,89.265923,87.507128,7.470424,77.897016,-1.770984,229.882785,268.520232,356.544729,-7.379423,122.840383
