@relation 'bookkeeperdataset-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute AVG_Churn numeric
@attribute AVG_ChgSet numeric
@attribute WeightedAge numeric
@attribute Buggy {NO,YES}

@data
136.5,140.75,17.516172,NO
247.4,113,18.452099,YES
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
48,161,19.161291,NO
63,227,11.338462,NO
237,227,11.445344,NO
133,161,18.592684,NO
136.5,145.25,22.511189,NO
176.33333,184,18.484112,NO
46,227,11.118279,NO
127.4,116.6,23.635529,YES
148.33333,184,18.47216,NO
58,227,11.094017,NO
149,227,11.109634,NO
74,227,11.289474,NO
0,282,0,NO
38,227,11.282051,NO
39,227,11.13924,NO
95.5,145.25,22.51861,NO
87.333336,184,18.567669,NO
70.5,145.25,22.518518,NO
113.5,145.25,22.39535,NO
332.5,97.5,24.677364,YES
83.5,145.25,22.557747,NO
58,161,18.796703,NO
122.5,145.25,22.263474,NO
359.33334,184,18.5073,NO
229.2,116.6,21.905903,NO
585.5,145.25,22.488596,NO
365.4,118.6,20.696922,NO
98.5,145.25,22.428225,NO
0,282,0,NO
65.5,227,12.069445,NO
48,166,19.363014,NO
47,227,11.448979,NO
184,141,22.755785,NO
0,282,0,NO
0,282,0,NO
97.5,190,16.751268,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
51,227,11.106796,NO
0,282,0,NO
104,227,11.35814,NO
0,282,0,NO
162,227,11.033846,NO
153,227,11.071428,NO
0,282,0,NO
41,227,11.13253,NO
104.333336,184,20.581509,NO
103.6,124.8,25.516129,NO
91.25,142.5,22.796537,NO
100.333336,184,20.649122,NO
0,282,0,NO
289,227,11.018998,NO
31.5,190,17.5,NO
0,282,0,NO
35,227,11.154929,NO
0,282,0,NO
0,282,0,NO
0,282,0,NO
29,227,11.18644,NO
564.25,138.5,19.284977,YES
64,227,12.222222,NO
29,227,11.18644,NO
64,227,11.085271,NO
37,227,11.428572,NO
68,227,11.82313,NO
153.33333,184,18.76875,NO
72,227,11.075862,NO
378,102.833336,23.672853,YES
76,227,11.142858,NO
158.33333,184,18.50104,NO
736.3333,184,19.42366,NO
74,227,11.146667,NO
93.333336,184,18.552816,NO
0,282,0,NO
426.33334,184,18.50807,NO
0,282,0,NO
58,227,11.094017,NO
91,227,11.294118,NO
27,227,11.2,NO
77,227,11.141026,NO
703.3333,184,18.655678,NO
63,227,11.338462,NO
0,282,0,NO
64,227,11.085271,NO
124,227,11.131474,NO
159.5,145.25,22.235834,NO
36,227,11.714286,NO
57.5,190,16.923077,NO
0,282,0,NO
129.5,145.25,22.50091,NO
73.5,190,16.832214,NO
82.333336,184,18.581673,NO
0,282,0,NO
48,155.5,16.836735,NO
60,227,11.090909,NO
70,161,18.8,NO
181.5,145.25,22.596899,NO
0,282,0,NO
451,138.5,18.954966,YES
0,282,0,NO
78,227,11.275,NO
64,227,11.085271,NO
31,227,11.174603,NO
57,227,11.372881,NO
104,227,11.35814,NO
0,282,0,NO
226.33333,184,19.563381,NO
189.75,139,22.420918,YES
75,227,11.423077,NO
0,282,0,NO
52,227,11.207547,NO
428.33334,184,19.320807,NO
104,227,12.386555,NO
0,282,0,NO
98,227,11.055838,NO
78.333336,184,19.406843,NO
57.5,227,11.282051,NO
0,282,0,NO
0,282,0,NO
230,161,18.80498,NO
133.33333,184,18.53202,NO
221.5,145.25,22.19469,NO
61.5,190,16.896,NO
65,227,11.24812,NO
0,282,0,NO
166,227,11.35277,NO
692.3333,161,18.629282,NO
93,161,18.797945,NO
260,161,18.682323,NO
0,282,0,NO
135.875,79.125,25.192982,YES
112,227,11.097345,NO
48,227,11.747573,NO
76,227,11.212903,NO
129,227,11.084616,NO
0,282,0,NO
305.33334,184,18.440475,NO
0,282,0,NO
268,227,11.181651,NO
52,227,11.104762,NO
206,227,11.435898,NO
64,227,11.16923,NO
312.75,138.75,21.360603,YES
0,282,0,NO
92,227,11.05946,NO
131.5,48.75,7.009091,NO
101.166664,51.833332,10.229107,YES
