Bug,IV,OV,FV,JIRA AV
BOOKKEEPER-40,0,0,1,FALSE
BOOKKEEPER-56,0,0,1,YES
BOOKKEEPER-72,0,0,1,FALSE
BOOKKEEPER-74,0,0,1,FALSE
BOOKKEEPER-112,0,0,1,FALSE
BOOKKEEPER-113,0,0,1,FALSE
BOOKKEEPER-133,0,0,1,YES
BOOKKEEPER-135,0,0,1,FALSE
BOOKKEEPER-137,0,0,1,FALSE
BOOKKEEPER-140,0,0,1,YES
BOOKKEEPER-55,0,0,2,YES
BOOKKEEPER-280,1,1,2,YES
BOOKKEEPER-291,1,1,2,FALSE
BOOKKEEPER-292,1,1,2,FALSE
BOOKKEEPER-548,1,3,4,FALSE
BOOKKEEPER-549,1,3,4,FALSE
BOOKKEEPER-313,2,2,5,YES
BOOKKEEPER-446,2,2,5,YES
BOOKKEEPER-544,2,2,5,FALSE
BOOKKEEPER-580,1,4,5,FALSE
BOOKKEEPER-584,3,4,5,YES
BOOKKEEPER-602,3,5,6,YES
BOOKKEEPER-638,5,5,6,YES
BOOKKEEPER-664,4,5,6,YES
BOOKKEEPER-673,1,5,6,FALSE
BOOKKEEPER-676,1,5,6,FALSE
BOOKKEEPER-678,1,5,6,FALSE
BOOKKEEPER-688,3,5,6,YES
BOOKKEEPER-363,2,2,7,YES
BOOKKEEPER-654,3,5,7,YES
BOOKKEEPER-708,1,6,7,FALSE
BOOKKEEPER-695,6,6,8,YES
BOOKKEEPER-739,1,7,8,FALSE
BOOKKEEPER-768,5,7,8,YES
BOOKKEEPER-802,2,8,9,FALSE
BOOKKEEPER-823,2,8,9,FALSE
BOOKKEEPER-578,4,4,10,FALSE
BOOKKEEPER-594,4,4,10,FALSE
BOOKKEEPER-769,5,7,10,FALSE
BOOKKEEPER-794,3,8,10,FALSE
BOOKKEEPER-852,6,8,11,YES
BOOKKEEPER-903,1,10,11,FALSE
BOOKKEEPER-907,1,10,11,FALSE
BOOKKEEPER-908,9,10,11,YES
BOOKKEEPER-924,9,10,11,YES
BOOKKEEPER-927,9,10,11,YES
BOOKKEEPER-1105,11,11,12,YES
