Dataset,#Training Release,%Training(data on training/total data,%Defective on training,%Defective in testing,Classifier,IBK k-hyperParam[1-3-9-19],Feature Selection,EPV Before,EPV After,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,FMeasure
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,pca,19,4,oversampling,17,9,207,69,0.653846154,0.197674419,0.651781869,0.197465249,0.303571429
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,pca,19,4,undersampling,25,10,206,61,0.714285714,0.290697674,0.826415805,0.297490335,0.41322314
bookkeeper,1,6.048387097,35.05154639,28.47682119,Random Forest,NO K-Param,pca,19,4,smote,15,11,205,71,0.576923077,0.174418605,0.762246985,0.156309621,0.267857143
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,pca,19,4,oversampling,48,24,192,38,0.666666667,0.558139535,0.834732989,0.470055474,0.607594937
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,pca,19,4,undersampling,49,24,192,37,0.671232877,0.569767442,0.834302326,0.480514353,0.616352201
bookkeeper,1,6.048387097,35.05154639,28.47682119,logistic,NO K-Param,pca,19,4,smote,46,24,192,40,0.657142857,0.534883721,0.837316968,0.448905109,0.58974359
bookkeeper,1,6.048387097,50,28.47682119,Ibk,19,pca,19,4,oversampling,55,25,191,31,0.6875,0.639534884,0.819256029,0.535026944,0.662650602
bookkeeper,1,6.048387097,50,28.47682119,Ibk,3,pca,19,4,undersampling,61,31,185,25,0.663043478,0.709302326,0.823535745,0.554149531,0.685393258
bookkeeper,1,6.048387097,35.05154639,28.47682119,Ibk,19,pca,19,4,smote,47,17,199,39,0.734375,0.546511628,0.818125538,0.506823749,0.626666667
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,pca,19,4,oversampling,6,6,210,80,0.5,0.069767442,0.79952627,0.05666134,0.12244898
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,pca,19,4,undersampling,5,5,211,81,0.5,0.058139535,0.818744617,0.047667938,0.104166667
bookkeeper,1,6.048387097,35.05154639,28.47682119,Naive Bayes,NO K-Param,pca,19,4,smote,3,5,211,83,0.375,0.034883721,0.83161068,0.016140974,0.063829787
bookkeeper,1,6.048387097,21.25,28.47682119,Random Forest,NO K-Param,pca,19,4,No sampling,5,6,210,81,0.454545455,0.058139535,0.803025409,0.041164878,0.103092784
bookkeeper,1,6.048387097,21.25,28.47682119,logistic,NO K-Param,pca,19,4,No sampling,20,4,212,66,0.833333333,0.23255814,0.834840655,0.27333975,0.363636364
bookkeeper,1,6.048387097,21.25,28.47682119,Ibk,3,pca,19,4,No sampling,60,21,195,26,0.740740741,0.697674419,0.803025409,0.611144595,0.718562874
bookkeeper,1,6.048387097,21.25,28.47682119,Naive Bayes,NO K-Param,pca,19,4,No sampling,3,5,211,83,0.375,0.034883721,0.835109819,0.016140974,0.063829787
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,best first,19,3,oversampling,48,0,216,38,1,0.558139535,0.797426787,0.643735254,0.71641791
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,best first,19,3,undersampling,50,0,216,36,1,0.581395349,0.80582472,0.66518847,0.735294118
bookkeeper,1,6.048387097,35.05154639,28.47682119,Random Forest,NO K-Param,best first,19,3,smote,50,0,216,36,1,0.581395349,0.841381352,0.66518847,0.735294118
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,best first,19,3,oversampling,61,24,192,25,0.717647059,0.709302326,0.826388889,0.600291718,0.713450292
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,best first,19,3,undersampling,36,31,185,50,0.537313433,0.418604651,0.710971146,0.294677354,0.470588235
bookkeeper,1,6.048387097,35.05154639,28.47682119,logistic,NO K-Param,best first,19,3,smote,62,22,194,24,0.738095238,0.720930233,0.867732558,0.623441397,0.729411765
bookkeeper,1,6.048387097,50,28.47682119,Ibk,3,best first,19,3,oversampling,58,30,186,28,0.659090909,0.674418605,0.811880922,0.531807976,0.666666667
bookkeeper,1,6.048387097,50,28.47682119,Ibk,1,best first,19,3,undersampling,67,28,188,19,0.705263158,0.779069767,0.829780362,0.629612233,0.740331492
bookkeeper,1,6.048387097,35.05154639,28.47682119,Ibk,1,best first,19,3,smote,62,20,196,24,0.756097561,0.720930233,0.81416882,0.637257043,0.738095238
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,best first,19,3,oversampling,30,24,192,56,0.555555556,0.348837209,0.803913652,0.267701261,0.428571429
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,best first,19,3,undersampling,25,25,191,61,0.5,0.290697674,0.78413006,0.200172456,0.367647059
bookkeeper,1,6.048387097,35.05154639,28.47682119,Naive Bayes,NO K-Param,best first,19,3,smote,26,25,191,60,0.509803922,0.302325581,0.799660853,0.212624992,0.379562044
bookkeeper,1,6.048387097,21.25,28.47682119,Random Forest,NO K-Param,best first,19,3,No sampling,50,0,216,36,1,0.581395349,0.848648794,0.66518847,0.735294118
bookkeeper,1,6.048387097,21.25,28.47682119,logistic,NO K-Param,best first,19,3,No sampling,25,25,191,61,0.5,0.290697674,0.710971146,0.200172456,0.367647059
bookkeeper,1,6.048387097,21.25,28.47682119,Ibk,1,best first,19,3,No sampling,62,19,197,24,0.765432099,0.720930233,0.816483635,0.644238672,0.74251497
bookkeeper,1,6.048387097,21.25,28.47682119,Naive Bayes,NO K-Param,best first,19,3,No sampling,22,23,193,64,0.488888889,0.255813953,0.802513997,0.174344793,0.335877863
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,wrapper,19,3,oversampling,33,26,190,53,0.559322034,0.38372093,0.668039406,0.290826943,0.455172414
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,wrapper,19,3,undersampling,47,33,183,39,0.5875,0.546511628,0.706018519,0.402177499,0.56626506
bookkeeper,1,6.048387097,35.05154639,28.47682119,Random Forest,NO K-Param,wrapper,19,3,smote,64,195,21,22,0.247104247,0.744186047,0.606616064,-0.098789444,0.371014493
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,wrapper,19,3,oversampling,37,30,186,49,0.552238806,0.430232558,0.762866064,0.312092728,0.483660131
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,wrapper,19,3,undersampling,35,29,187,51,0.546875,0.406976744,0.770429587,0.295462499,0.466666667
bookkeeper,1,6.048387097,35.05154639,28.47682119,logistic,NO K-Param,wrapper,19,3,smote,31,26,190,55,0.543859649,0.360465116,0.770967916,0.267209874,0.433566434
bookkeeper,1,6.048387097,50,28.47682119,Ibk,19,wrapper,19,3,oversampling,46,35,181,40,0.567901235,0.534883721,0.771748493,0.379486056,0.550898204
bookkeeper,1,6.048387097,50,28.47682119,Ibk,19,wrapper,19,3,undersampling,39,29,187,47,0.573529412,0.453488372,0.768168605,0.340687119,0.506493506
bookkeeper,1,6.048387097,35.05154639,28.47682119,Ibk,9,wrapper,19,3,smote,33,27,189,53,0.55,0.38372093,0.776916451,0.284614474,0.452054795
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,wrapper,19,3,oversampling,29,26,190,57,0.527272727,0.337209302,0.761816322,0.243222028,0.411347518
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,wrapper,19,3,undersampling,26,25,191,60,0.509803922,0.302325581,0.753310724,0.212624992,0.379562044
bookkeeper,1,6.048387097,35.05154639,28.47682119,Naive Bayes,NO K-Param,wrapper,19,3,smote,27,24,192,59,0.529411765,0.313953488,0.768653101,0.231151463,0.394160584
bookkeeper,1,6.048387097,21.25,28.47682119,Random Forest,NO K-Param,wrapper,19,3,No sampling,30,25,191,56,0.545454545,0.348837209,0.64039621,0.261457641,0.425531915
bookkeeper,1,6.048387097,21.25,28.47682119,logistic,NO K-Param,wrapper,19,3,No sampling,24,23,193,62,0.510638298,0.279069767,0.770833333,0.199862851,0.360902256
bookkeeper,1,6.048387097,21.25,28.47682119,Ibk,19,wrapper,19,3,No sampling,22,23,193,64,0.488888889,0.255813953,0.771533161,0.174344793,0.335877863
bookkeeper,1,6.048387097,21.25,28.47682119,Naive Bayes,NO K-Param,wrapper,19,3,No sampling,24,23,193,62,0.510638298,0.279069767,0.758371016,0.199862851,0.360902256
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,no fs,19,19,oversampling,57,17,199,29,0.77027027,0.662790698,0.809566107,0.60968757,0.7125
bookkeeper,1,6.048387097,50,28.47682119,Random Forest,NO K-Param,no fs,19,19,undersampling,58,15,201,28,0.794520548,0.674418605,0.792608742,0.6338052,0.729559748
bookkeeper,1,6.048387097,35.05154639,28.47682119,Random Forest,NO K-Param,no fs,19,19,smote,46,6,210,40,0.884615385,0.534883721,0.856427649,0.575583527,0.666666667
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,no fs,19,19,oversampling,39,85,131,47,0.314516129,0.453488372,0.573966408,0.052931673,0.371428571
bookkeeper,1,6.048387097,50,28.47682119,logistic,NO K-Param,no fs,19,19,undersampling,12,96,120,74,0.111111111,0.139534884,0.235626615,-0.283115065,0.12371134
bookkeeper,1,6.048387097,35.05154639,28.47682119,logistic,NO K-Param,no fs,19,19,smote,50,0,216,36,1,0.581395349,0.833602498,0.66518847,0.735294118
bookkeeper,1,6.048387097,50,28.47682119,Ibk,9,no fs,19,19,oversampling,26,7,209,60,0.787878788,0.302325581,0.780711671,0.331372679,0.43697479
bookkeeper,1,6.048387097,50,28.47682119,Ibk,19,no fs,19,19,undersampling,27,0,216,59,1,0.313953488,0.790455426,0.395631233,0.477876106
bookkeeper,1,6.048387097,35.05154639,28.47682119,Ibk,19,no fs,19,19,smote,12,0,216,74,1,0.139534884,0.799849268,0.18828999,0.244897959
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,no fs,19,19,oversampling,3,5,211,83,0.375,0.034883721,0.832795004,0.016140974,0.063829787
bookkeeper,1,6.048387097,50,28.47682119,Naive Bayes,NO K-Param,no fs,19,19,undersampling,3,5,211,83,0.375,0.034883721,0.840546942,0.016140974,0.063829787
bookkeeper,1,6.048387097,35.05154639,28.47682119,Naive Bayes,NO K-Param,no fs,19,19,smote,6,5,211,80,0.545454545,0.069767442,0.837666882,0.063207065,0.12371134
bookkeeper,1,6.048387097,21.25,28.47682119,Random Forest,NO K-Param,no fs,19,19,No sampling,43,1,215,43,0.977272727,0.5,0.840304694,0.580714376,0.661538462
bookkeeper,1,6.048387097,21.25,28.47682119,logistic,NO K-Param,no fs,19,19,No sampling,51,35,181,35,0.593023256,0.593023256,0.803186908,0.430986219,0.593023256
bookkeeper,1,6.048387097,21.25,28.47682119,Ibk,3,no fs,19,19,No sampling,1,2,214,85,0.333333333,0.011627907,0.705157192,0.003338138,0.02247191
