Bug,IV,OV,FV,JIRA AV
SYNCOPE-81,0,0,6,YES
SYNCOPE-318,1,6,7,FALSE
SYNCOPE-354,8,9,10,YES
SYNCOPE-357,8,9,10,YES
SYNCOPE-370,10,11,12,YES
SYNCOPE-285,6,6,13,FALSE
SYNCOPE-349,7,8,15,YES
SYNCOPE-458,14,15,17,YES
SYNCOPE-459,13,15,17,YES
SYNCOPE-483,16,16,17,YES
SYNCOPE-527,2,17,18,FALSE
SYNCOPE-543,17,18,19,YES
SYNCOPE-730,26,26,28,YES
SYNCOPE-735,25,26,28,YES
SYNCOPE-756,26,27,28,YES
SYNCOPE-737,26,26,29,YES
SYNCOPE-780,28,28,29,YES
SYNCOPE-781,28,28,29,YES
SYNCOPE-845,1,29,30,FALSE
SYNCOPE-863,28,29,30,YES
SYNCOPE-865,29,29,30,YES
SYNCOPE-872,1,30,31,FALSE
SYNCOPE-738,26,26,32,YES
SYNCOPE-999,33,35,36,YES
SYNCOPE-1066,36,37,38,YES
SYNCOPE-1190,38,39,41,YES
SYNCOPE-1235,40,41,42,YES
SYNCOPE-1254,41,41,43,YES
SYNCOPE-1024,36,37,45,YES
SYNCOPE-1390,0,46,47,YES
SYNCOPE-1461,48,48,50,YES
SYNCOPE-1476,0,49,50,YES
