Dataset,#Training Release,%Training(data on training/total data,%Defective on training,%Defective in testing,Classifier,IBK k-hyperParam[1-3-9-19],Feature Selection,EPV Before,EPV After,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,FMeasure
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,Random Forest,NO K-Param,pca,19,4,oversampling,17.0,9.0,207.0,69.0,0.6538461538461539,0.19767441860465115,0.6517818690783808,0.197465249386754,0.30357142857142855
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,Random Forest,NO K-Param,pca,19,4,undersampling,25.0,10.0,206.0,61.0,0.7142857142857143,0.29069767441860467,0.826415805340224,0.297490334840443,0.41322314049586784
bookkeeper,1.0,6.048387096774194,35.051546391752574,28.47682119205298,Random Forest,NO K-Param,pca,19,4,smote,15.0,11.0,205.0,71.0,0.5769230769230769,0.1744186046511628,0.7622469853574505,0.15630962115017705,0.26785714285714285
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,logistic,NO K-Param,pca,19,4,oversampling,48.0,24.0,192.0,38.0,0.6666666666666666,0.5581395348837209,0.8347329888027563,0.4700554737914637,0.6075949367088608
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,logistic,NO K-Param,pca,19,4,undersampling,49.0,24.0,192.0,37.0,0.6712328767123288,0.5697674418604651,0.8343023255813954,0.48051435339236354,0.6163522012578616
bookkeeper,1.0,6.048387096774194,35.051546391752574,28.47682119205298,logistic,NO K-Param,pca,19,4,smote,46.0,24.0,192.0,40.0,0.6571428571428571,0.5348837209302325,0.8373169681309216,0.4489051094890511,0.5897435897435898
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,Ibk,19,pca,19,4,oversampling,55.0,25.0,191.0,31.0,0.6875,0.6395348837209303,0.8192560292850991,0.5350269438029255,0.6626506024096386
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,Ibk,3,pca,19,4,undersampling,61.0,31.0,185.0,25.0,0.6630434782608695,0.7093023255813954,0.8235357450473729,0.5541495307392177,0.6853932584269663
bookkeeper,1.0,6.048387096774194,35.051546391752574,28.47682119205298,Ibk,19,pca,19,4,smote,47.0,17.0,199.0,39.0,0.734375,0.5465116279069767,0.8181255383290267,0.5068237489793539,0.6266666666666666
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,Naive Bayes,NO K-Param,pca,19,4,oversampling,6.0,6.0,210.0,80.0,0.5,0.06976744186046512,0.799526270456503,0.05666133953218059,0.12244897959183673
bookkeeper,1.0,6.048387096774194,50.0,28.47682119205298,Naive Bayes,NO K-Param,pca,19,4,undersampling,5.0,5.0,211.0,81.0,0.5,0.05813953488372093,0.818744616709733,0.04766793781167486,0.10416666666666667
bookkeeper,1.0,6.048387096774194,35.051546391752574,28.47682119205298,Naive Bayes,NO K-Param,pca,19,4,smote,3.0,5.0,211.0,83.0,0.375,0.03488372093023256,0.8316106804478898,0.016140974381756042,0.06382978723404255
