Dataset,#Training Release,%Training(data on training/total data,%Defective on training,%Defective in testing,Classifier,IBK k-hyperParam[1-3-9-19],Feature Selection,EPV Before,EPV After,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,FMeasure
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Random Forest,NO K-Param,pca,19,5,oversampling,0.0,0.0,731.0,3.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Random Forest,NO K-Param,pca,19,5,undersampling,3.0,729.0,2.0,0.0,0.004098360655737705,1.0,0.6354309165526676,2.242579863875425E-5,0.00816326530612245
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Random Forest,NO K-Param,pca,19,5,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.6550387596899225,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,logistic,NO K-Param,pca,19,5,oversampling,0.0,5.0,726.0,3.0,0.0,0.0,0.8176014591883265,-0.00513522766176372,0.0
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,logistic,NO K-Param,pca,19,5,undersampling,3.0,731.0,0.0,0.0,0.004087193460490463,1.0,0.5027359781121751,0.0,0.008141112618724558
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Ibk,NO K-Param,pca,19,5,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.5704514363885089,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Ibk,1,pca,19,5,oversampling,0.0,1.0,730.0,3.0,0.0,0.0,0.6762425900592796,-0.0020477815699675005,0.0
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Ibk,1,pca,19,5,undersampling,1.0,46.0,685.0,2.0,0.02127659574468085,0.3333333333333333,0.635202918376653,0.03256631336152556,0.04
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Ibk,1,pca,19,5,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Naive Bayes,NO K-Param,pca,19,5,oversampling,0.0,1.0,730.0,3.0,0.0,0.0,0.9361605107159142,-0.0020477815699675005,0.0
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Naive Bayes,NO K-Param,pca,19,5,undersampling,3.0,731.0,0.0,0.0,0.004087193460490463,1.0,0.3987688098495212,0.0,0.008141112618724558
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Naive Bayes,NO K-Param,pca,19,5,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.9259005927952576,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,Random Forest,NO K-Param,pca,19,5,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.6561787505699954,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,logistic,NO K-Param,pca,19,5,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.5745554035567716,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,Ibk,1,pca,19,5,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,Naive Bayes,NO K-Param,pca,19,5,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.9311445508435933,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Random Forest,NO K-Param,best first,19,2,oversampling,0.0,0.0,731.0,3.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Random Forest,NO K-Param,best first,19,2,undersampling,0.0,17.0,714.0,3.0,0.0,0.0,0.6135430916552668,-0.0069968445602936425,0.0
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Random Forest,NO K-Param,best first,19,2,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,logistic,NO K-Param,best first,19,2,oversampling,1.0,72.0,659.0,2.0,0.0136986301369863,0.3333333333333333,0.6135430916552668,0.018610197665594175,0.02631578947368421
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,logistic,NO K-Param,best first,19,2,undersampling,1.0,72.0,659.0,2.0,0.0136986301369863,0.3333333333333333,0.6135430916552668,0.018610197665594175,0.02631578947368421
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Ibk,NO K-Param,best first,19,2,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.6135430916552668,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Ibk,19,best first,19,2,oversampling,1.0,72.0,659.0,2.0,0.0136986301369863,0.3333333333333333,0.6219790241678067,0.018610197665594175,0.02631578947368421
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Ibk,3,best first,19,2,undersampling,1.0,72.0,659.0,2.0,0.0136986301369863,0.3333333333333333,0.6174190606475148,0.018610197665594175,0.02631578947368421
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Ibk,1,best first,19,2,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.6135430916552668,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Naive Bayes,NO K-Param,best first,19,2,oversampling,1.0,55.0,676.0,2.0,0.017857142857142856,0.3333333333333333,0.6231190150478796,0.026343960902955463,0.03389830508474576
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Naive Bayes,NO K-Param,best first,19,2,undersampling,1.0,70.0,661.0,2.0,0.014084507042253521,0.3333333333333333,0.6144550843593252,0.019335683800333733,0.027027027027027032
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Naive Bayes,NO K-Param,best first,19,2,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.6231190150478796,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,Random Forest,NO K-Param,best first,19,2,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,logistic,NO K-Param,best first,19,2,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.6135430916552668,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,Ibk,1,best first,19,2,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.6135430916552668,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.4087193460490463,Naive Bayes,NO K-Param,best first,19,2,No sampling,0.0,0.0,731.0,3.0,NaN,0.0,0.6367989056087552,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Random Forest,NO K-Param,no fs,19,19,oversampling,0.0,0.0,731.0,3.0,NaN,0.0,0.9131326949384405,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.4087193460490463,Random Forest,NO K-Param,no fs,19,19,undersampling,0.0,0.0,731.0,3.0,NaN,0.0,0.9505243958048336,0.0,NaN
syncope,1.0,2.5699460065914033,0.5442176870748299,0.4087193460490463,Random Forest,NO K-Param,no fs,19,19,smote,0.0,0.0,731.0,3.0,NaN,0.0,0.8002735978112175,0.0,NaN
