Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC,AVG_LOC,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSets,AVG_ChgSet,Age,WeightedAge,Buggy
1,rest/src/main/java/org/syncope/rest/CreateUser.java,35,35,1,0,1,35,35,35.0,35,35,0.0,6,6,6.0,0,0.0,NO
1,rest/src/test/java/org/syncope/rest/user/ConnectionTestITCase.java,155,161,3,0,1,158,158,157.66667,155,158,156.33333,43,24,14.333333,0,0.0,NO
1,core/src/main/java/org/syncope/core/beans/SyncopeUser.java,123,181,5,0,1,152,152,101.4,123,123,90.0,82,24,16.4,2,1.0374753,NO
1,core/src/main/java/org/syncope/core/dao/SyncopeUserDAO.java,29,33,2,0,1,31,31,30.0,29,29,29.0,43,24,21.5,0,0.0,NO
1,core/src/main/java/org/syncope/core/dao/impl/SyncopeUserDAOImpl.java,52,82,3,0,1,67,67,63.333332,52,65,53.333332,61,24,20.333334,2,0.70526314,NO
1,core/src/test/java/org/syncope/core/test/dao/SyncopeUserDAOTest.java,113,229,5,0,1,171,171,128.4,113,123,85.2,64,24,12.8,2,0.9127726,NO
1,core/src/main/java/org/syncope/core/beans/UserAttributeSchema.java,255,345,5,0,1,300,300,240.8,255,299,209.6,80,19,16.0,2,1.3928572,NO
1,core/src/main/java/org/syncope/core/dao/DAO.java,18,18,1,0,1,18,18,18.0,18,18,0.0,19,19,19.0,0,0.0,NO
1,core/src/main/java/org/syncope/core/dao/UserAttributeSchemaDAO.java,29,29,1,0,1,29,29,29.0,29,29,0.0,19,19,19.0,0,0.0,NO
1,core/src/main/java/org/syncope/core/dao/impl/AbstractDAOImpl.java,30,30,1,0,1,30,30,30.0,30,30,0.0,19,19,19.0,0,0.0,NO
1,core/src/main/java/org/syncope/core/dao/impl/UserAttributeSchemaDAOImpl.java,53,53,2,0,1,53,53,52.0,53,53,52.0,37,19,18.5,2,1.0192307,NO
1,core/src/main/java/org/syncope/core/enums/AttributeType.java,53,63,2,0,1,58,58,41.0,53,53,38.5,38,19,19.0,1,0.70731705,NO
1,core/src/test/java/org/syncope/core/test/dao/AbstractDAOTest.java,127,145,4,0,1,136,136,107.5,127,135,102.75,56,19,14.0,2,1.1348838,NO
1,core/src/test/java/org/syncope/core/test/dao/UserAttributeSchemaDAOTest.java,74,88,4,0,1,81,81,77.0,74,79,73.25,72,19,18.0,2,1.0292208,NO
