Dataset,#Training Release,%Training(data on training/total data,%Defective on training,%Defective in testing,Classifier,IBK k-hyperParam[1-3-9-19],Feature Selection,EPV Before,EPV After,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,FMeasure
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,Random Forest,NO K-Param,pca,19,5,oversampling,0.0,0.0,729.0,5.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,Random Forest,NO K-Param,pca,19,5,undersampling,5.0,727.0,2.0,0.0,0.006830601092896175,1.0,0.6691358024691358,3.747859035525936E-5,0.013568521031207597
syncope,1.0,2.5699460065914033,0.5442176870748299,0.6811989100817438,Random Forest,NO K-Param,pca,19,5,smote,0.0,0.0,729.0,5.0,NaN,0.0,0.6866941015089163,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,logistic,NO K-Param,pca,19,5,oversampling,0.0,5.0,724.0,5.0,0.0,0.0,0.8359396433470507,-0.006858710562411463,0.0
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,logistic,NO K-Param,pca,19,5,undersampling,5.0,729.0,0.0,0.0,0.006811989100817439,1.0,0.5027434842249657,0.0,0.013531799729364006
syncope,1.0,2.5699460065914033,0.5442176870748299,0.6811989100817438,Ibk,NO K-Param,pca,19,5,smote,0.0,0.0,729.0,5.0,NaN,0.0,0.6899862825788752,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,Ibk,1,pca,19,5,oversampling,0.0,1.0,728.0,5.0,0.0,0.0,0.7676268861454046,-0.002275830678199339,0.0
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,Ibk,1,pca,19,5,undersampling,2.0,45.0,684.0,3.0,0.0425531914893617,0.4,0.6691358024691358,0.06541461085468807,0.07692307692307691
syncope,1.0,2.5699460065914033,0.5442176870748299,0.6811989100817438,Ibk,1,pca,19,5,smote,0.0,0.0,729.0,5.0,NaN,0.0,0.5,0.0,NaN
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,Naive Bayes,NO K-Param,pca,19,5,oversampling,0.0,1.0,728.0,5.0,0.0,0.0,0.7868312757201646,-0.002275830678199339,0.0
syncope,1.0,2.5699460065914033,50.0,0.6811989100817438,Naive Bayes,NO K-Param,pca,19,5,undersampling,5.0,729.0,0.0,0.0,0.006811989100817439,1.0,0.5899862825788752,0.0,0.013531799729364006
syncope,1.0,2.5699460065914033,0.5442176870748299,0.6811989100817438,Naive Bayes,NO K-Param,pca,19,5,smote,0.0,0.0,729.0,5.0,NaN,0.0,0.7806584362139918,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.6811989100817438,Random Forest,NO K-Param,pca,19,5,No sampling,0.0,0.0,729.0,5.0,NaN,0.0,0.6872427983539094,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.6811989100817438,logistic,NO K-Param,pca,19,5,No sampling,0.0,0.0,729.0,5.0,NaN,0.0,0.693278463648834,0.0,NaN
syncope,1.0,2.5699460065914033,0.2728512960436562,0.6811989100817438,Ibk,1,pca,19,5,No sampling,0.0,0.0,729.0,5.0,NaN,0.0,0.5,0.0,NaN
